ip_armies_size|Ordunun Büyüklüğü
ip_character_backgrounds_text|Northlands'da bir oyuncu, karakteri için çeşitli sosyal sınıfların birinden gelmeyi seçebilir. Bu seçim oyuncunun başlangıçtaki yeteneklerinin ve ekipmanının yanısıra, maceracılık kariyerini de etkiler.^^ Northlands'de savaş ve politika geleneksel olarak erkek asilzadeler tarafından yönetilir. Soylu bir karakter bu gruba daha çabuk kabul edilebilirken, kadınlar veya halktan insanlar bu yolda fazladan güçlüklerle karşılaşabilirler. Eğer soylu bir erkek olarak oyuna başlamayı seçerseniz, bunu 'kolay' ayarı olarak görebilirsiniz. Yine de soylu bir kadın ya da bir şehirli bir erkek olarak başlamak daha zordur ve şehirli bir bayan olarak başlamak büyük olasılıkla oyuna başlamanın en zorlu yoludur. Ancak kadınların oyun başında bazı avantajları vardır. Bir kadın savaşçı sadece silahlanarak bile dikkatleri üzerine çekebilir, böylece bir erkek oyuncudan daha kısa sürede diyarda nam salabilir. Aynı zamanda, adetler gereği bir kadının üst sosyal sınıflardan biriyle evlenmesi daha kolaydır ve bir kadın karakter bir mantık evliliğinden daha kazançlı çıkabilir. ^^ Son olarak belirtmek gerekir ki oyun, karakterlerin geçmişine dayalı yükselişine bir sınır koymaz. Soylu veya halktan, erkek veya kadın, evli veya bekar - - yeterince cesur, şanslı ve becerikli olan herkes Northlands'in hükümdarlığına yükselebilir.
ip_military_campaigns|Askeri Harekatlar
ip_military_campaigns_text|Northlands'de krallıklar savaşa girdikleri zaman, ordularının saldırı için iki seçeneği vardır: Köylere saldırıp ve sayfiye yerleri yerle bir etmeye çalışabilirler, böylece düşmanlarının itibarına ve ekonomilerine zarar verirler. Ya da, şehirleri ve kaleleri fethedip ellerinde tutmaya çalışabilirler. Bu ikinci seçenek, uzun süren kanlı kuşatmalar gerektirebilir, fakat sonunda daha kesin kazançlar sağlar.^^ Northlands kralları savaş alanına, hükümdarın istediği kadar savaş alanında kalan düzenli ordular sürmez. Bunun yerine, Englaland'daki krallıklar, derebeylerinin soylu gruplarından ve kişisel maiyetlerinden oluşan birlikleri tarafından korunur. Bazen bu soylular kendi başlarına düşman topraklarına saldırsalar da, en kesin sonuçlar genelde büyük orduların birleştiği savaşlarda alınır. Kral tarafından görevlendirilmiş bir soylu olan krallık mareşali, savaş öncesinde orduyu savaşa çağıracak ve onları yönetecektir. Ancak, orduyu savaş alanında fazla tutmamaya dikkat etmek gerekir. Aksi takdirde, derebeylerinin kendilerine işlerine yönelmeleri sonucu ordu çözülmeye başlar ve bir karşı saldırıya karşı savunmasız kalabilir. ^^ Bu sebeple, Kalradya'da savaşların ritmi çoğunlukla iki savaşçının karşılıklı düellosundaki ritme benzer: Taraflardan biri gücünü arttıracak ve düşman topraklarına bir darbe indirmeye çalışacaktır. Eğer mareşal derebeylerini toplamak için yeterince uğraşmazsa düşmanlarına yeterince zarar veremeyebilir. Eğer bu iş için fazla vakit kaybederse sefer henüz başlamadan bitebilir. Büyük bir krallık küçüğünden üstündür, bu üstünlük kaslı bir savaşçının cılız bir düşman üzerindeki üstünlüğüne benzer; ancak krallığın politik yönden ne kadar birlik halinde olduğu da önemli bir etkendir, bu da kuvvetli bir savaşçının düşman karşısında dayanabilmesine benzetilebilir. Bazen iki krallığın orduları kafa kafaya gelir, böyle savaşların sonucu hem asker sayısı hem de askerlerin moralleri tarafından belirlenir. ^^Zaman zaman krallıkların düşmanları hakkında bildikleri yetersiz kalır. Savaş lordları, hangi kalelerin savunmasız olduğunu belirlemek için sık sık düşman topraklarını gözetleme gereksinimi duyar. Herhangi bir düşman harekatı halinde bu bilgiyi yayan tehlike işaretlerinin kalelerden ve şehirlerden yayılması, ordunun kendi yurdunu savunmasına oldukça yardımcı olacaktır. Yine de bu çeşit bilgiler, özellikle sayılar söz konusu olduğunda yetersiz kalacaktır. Bir kuşatmayı kaldırmak veya bir köyü kurtarmak için yola çıkan bir savunma ordusu, gerçekte hazırlıksız olan düşmanlarının sayısını abartabilir -- veya küçümsediği bir orduyu abartmış olması gerektiğini acı yoldan öğrenebilir. Buna karşılık saldıran taraf, düşman topraklarında ne kadar ilerlediklerine dikkat etmelidir; savaşçı mareşaller temkinli olanlardan daha ilerilere atılabilirler. ^^ Oyuncuların, orduya katılarak veya düşman topraklarında gözcülük yapmaya çalışarak gruplarının askeri seferlerine katılmaları beklenir. Bazı oyuncular krallıklarının mareşalini fazla temkinli veya saldırgan bulabilirler. Bu durumda diğer lordları mareşalin yerini almaları için kışkırtmaya çalışabilir, ya da kendileri mareşal olmak için destek toplayabilirler. ^^Çoğu savaşın süresi kısıtlıdır. Savaşa giden krallar, sadece kısa süre bir için kendilerini şeref adına anlaşmazlığın peşine düşmeye mecbur hisseder. Eğer düşmanı bozguna uğratmıyorlarsa, üçüncü bir grubun saldırısına karşı savunmasız kalmamak için anlaşmazlığı çözmenin bir yolunu aramaya başlayacaklardır. Northlands'in hükümdarları, bugünün dostlarının yarın düşman, düşmanlarının da dost olabileceğini gayet iyi bilirler .
ip_siege_warfare|Kuşatma Muharebesi
ip_siege_warfare_text|Viking Kuşatması, size Karanlık Çağlardaki kuşatma muharebelerini sunar. Oyuncular bir yerleşim yerini kuşattığında, o yeri ele geçirmek için iki yol izlenebilir: güçten düşürme yolu (açlık, hastalık ...) ya da saldırı. ^^Birinci yolda oyuncunun amacı yerleşim yerini kapatarak erzak ve destek güç alımını önlemektir. Aynı zamanda yerleşim yerinin moral gücünü düşürmek, hastalıkları yaymak ve yiyecek kaynaklarını yok etmek için çeşitli eylemler yapılabilir. Bu tip olaylar zaman alır ancak kendi tarafınızda oluşabilecek büyük kayıpları önler. ^^İkinci yolda ise mevcut saldırı ekipmanları (merdivenler, kalkanlar...) ile doğrudan saldırıya geçilir ya da saldırgan hucümlar yapılır (savunanları yıpratmak, evlerini ve surlarını yakmak...). Bu seçenek, oyuncu kendini o yerleşim yerini tam bir saldırı ile ele geçirmeye hazır hissettiğinde kullanılmalıdır. Bu saldırının avantajı o yeri biran önce ele geçirmektir ancak genellikle benzer pahada can kaybına sebep olur.  ^^Ayrıca yerleşim yerinin bir limanı var ise, oyuncu bir donanma edinerek limana denizden de saltırı yapabilir. ^^Yeni kuşatma sisteminin gücü ve özellikleri burada detaylı anlatılamayacak kadar fazladır. Yapılabilecek en iyi şey oyunu kendi başınıza keşfetmeniz ve kendinize göre stratejiler geliştirmenizdir. Gerçekçi bir kuşatma muharebesine hoşgeldiniz.
ip_sea_travel|Deniz yolculuğu
ip_sea_travel_text|Dünya haritasındaki feribot, partinizi iki istasyon arasında taşıyor. Partiniz küçük olduğunda bu ucuz olsa da, parti büyüklüğü ile daha pahalı hale gelir. ^^ Denizde daha uzun mesafeler seyahat etmek için biri liman kentinden diğerine seyahat edebilir. Bu, kasaba menüsünden veya kasaba sahnesinin liman kısmındaki gemi yazarı ile konuşarak başlatılabilir. Feribotlara benzer şekilde, bu hizmet parti büyüklüğüyle daha pahalı hale gelir. ^^ Kendi geminiz olduğunda, şehir menüsünde 'Limandan Yelken' seçeneğine tıklayarak içinde bulunduğunuz limandan binebilirsiniz. Haritaya döneceksiniz, ama bu sefer geminizde denizde. Deniz yolculuğu daha sonra kara yolculuğuna çok benziyor. ^^ Karaya geri dönmenin iki farklı yolu var. Bir limanı tıklayabilir ya da bir iniş noktası kullanabilirsiniz. Bir iniş noktası bulmak için, sahil boyunca yakından seyahat edin veya partinize sağ tıklayın ve 'en yakın iniş noktasını bul' seçeneğini seçin. Limanlarda olduğu gibi, inmek için iniş noktasını tıklayın. Her iki durumda da, gemileriniz indiğiniz yerde kalacaktır. ^^ ^ Partinizin büyüklüğü gemilerinizin kapasitesinden büyükse, gemilere binemezsiniz. Bu durumda, bulunduğunuz konumda bir asker mahallesi (Kamp menüsü) ve hedef pozisyonunuzda bir başka asker mahallesi oluşturabilir, ardından ordunuzu her iki mahalle arasında adım adım taşıyabilirsiniz. ^^ Kampanya haritasında deniz yoluyla seyahat ederken, daima mevcut hava durumunu kontrol edin. 'Kamp' düğmesine tıkladıktan sonra, mevcut koşullar sol tarafta gösterilir. Hava koşulları değişirse, ekranın sol alt köşesinde bir mesajla bilgilendirileceksiniz. ^^ Bir yandan, rüzgarlı havalar, gemilerinizin kampanya haritasındaki ve deniz savaşlarındaki hızı için iyidir. Öte yandan, gemilerinize zarar verme şansı da artar. Hasar, bir geminin durumunu daha da kötüleştirir, yavaşlatır ve hatta koşul “Tehlikeli” ye ulaştığında bile yok eder. Gemilerinizin durumunu 'Kamp' ve ardından 'Filo' üzerine tıklayarak kontrol edebilirsiniz. ^^ Son olarak, hava durumu da gemilerin savaştaki davranışını belirler. Bu, önceden “Kamp” ve ardından “Konumu kontrol et” seçeneğini tıklayarak kontrol edilebilir. ^^ Deniz seyahati tehlikelidir ve birliklerin moralini düşürebilir. Bu olduğunda, size bir mesaj gönderilecektir. Askerler özellikle geceyi suya harcamaktan hoşlanmıyorlar. Bu nedenle, gece karaya inmek için rotanızı çizmeyi düşünün. Denizdeki moral çok düşerse, askerler isyan edebilir. ^^ Denizciler ve bazı İskandinav birlikleri gibi bazı birlikler denizcilere maruz kalıyorlar ve kampanyanızdaki gemilerin seyahat hızını artıracaklar. Efekti kamp menüsünün sol tarafında kontrol edebilirsiniz. ^^ Filonuzda birden fazla gemi varsa, filonun hızı en yavaş gemi tarafından belirlenir. Ancak filonuzda birden fazla gemi varsa, filonuzu bölebilirsiniz. Bunu yapmak için kıyıya yakın bir yere seyahat edin. Sonra yavaşça gemi (ler) i bırakmak için 'Kamp', 'Filo' ve son olarak 'Gemiyi kıyıda bırak' üzerine tıklayın. Gemileri tekrar bir araya getirmek için, hepsinin bir limana getirilmesi gerekiyor. Tüm gemilerinize bulundukları yerde genel bir bakış için 'Karakter'i ve ardından' Gemiler'i tıklayın.
ip_sea_battle|Deniz savaşı
ip_sea_battle_text|Denizde seyahat etmeye başladıktan sonra bir noktada deniz savaşına katılacaksınız. ^^ Her şeyden önce, geminizi nasıl kontrol edeceğinizi bilmeniz gerekiyor. Komutu ileri, hızlı ileri, geri veya kalmaya verebilirsiniz. Yukarı ve aşağı ok tuşları bu komutlar arasında geçiş yapar. Ayrıca düz, sancak, sert sancak, liman veya sabit porta gitme komutunu da verebilirsiniz. Sol ve sağ ok tuşları bu komutlar arasında geçiş yapar. ^^ Mevcut komutlar, geminizin sağ üst köşesinde gösterimi etrafındaki oklarla gösterilir. Yelkeni ayarlamak için Enter tuşuna, sahnenin taktiksel görüntüsünü elde etmek için Geri tuşuna basın. Bir gemi yönlendirmek ve rüzgarın etkisini hissetmek için bu komutları deneyin. ^^ Bir düşman gemisine yeterince yaklaşınca biniş başlar. Gemiler bir araya toplanır ve dövüş başlar. ^ Şanslıysanız, savaşı kazandıktan sonra düşmanın amiral gemisini ele geçirebilirsiniz. ^^ Çok sayıda geminizin olduğu bir deniz savaşında, bir 'ayakta durma' ya da 'ücretlendirme verebilirsiniz. 'Dokuzuncu' bölüme atanan gemilerinize emir verin. Ordu listenizdeki ilk birlikler amiral gemisinde sizinle birlikte olacak. Diğer askerler kalan gemilerde olacak. Birisi bir gemideki amiral gemisini değiştirebilir ya da denizde kamp kurarken. ^^ Oldukça geniş bir filosuyla şehirlere deniz kenarlarından saldırabilir. Bunu yapmak için, sadece düşman liman kasabasına tıkla ve ilk inişe geçmeden ona ulaştığında saldırabilirsin.
ip_ship_info|Ships
ip_ship_info_text|Er ya da geç, bir gemiye yatırım yapmak istersiniz. Bunu yapmak için birkaç neden var. Uzun vadede deniz seyahatinin en ucuz şeklidir. Denizde hareket halinde size tam bir özgürlük sunar. Ticaret ve baskın için yeni fırsatlar açılıyor. ^^ Öte yandan, olumsuz taraflar var. Her şeyden önce, bir gemi pahalıdır ve bir tane alabilmek için biraz para biriktirmeniz gerekir. Dahası, bir gemi sadece sınırlı miktarda asker taşıyabilir. ^^ Bir diğer önemli husus hızdır. Daha hızlı bir gemiyle, diğer gemilerden daha başarılı bir şekilde yakalanır veya kaçarsınız. Bir geminin hızı türüne ve durumuna göre belirlenir. ^ ^ Son olarak, gemi yapımında kullanılan odun dayanıklılığını etkiler. Meşe ağacından yapılmış gemiler çok dayanıklı olsa da, kayın ağacından yapılmış gemilerin daha sık onarılması gerekir. ^^ Bir gemi almaya hazır olduğunuzda, bir liman kentinin kasaba menüsünde 'gemileri gör' seçeneğini tıklayın veya konuşun gemi sahibine. Liman kasabalarında satılık üç gemi bulunabilir, ancak bazen hiçbiri mevcut değildir. Sunulan gemilerin tipi ve miktarı zaman içinde değişmektedir. Tüm liman şehirleri gemi sunarken, biri İskandinavya ve Frizce limanlarında en iyi gemileri bulur. Geminizi görmek için şehir menüsünde 'Gemileri gör' seçeneğine tıklayabilir veya iskelesine yürüyebilirsiniz. ^^ Bir limanda, bir gemi yelkenini kişiselleştirebilir veya meşe ağacından yapılmış herhangi bir gemiyi boyayabilirsiniz. Oyuncunun gemileri için ayrılmış özel bir yelken var. Özel bir grafik editörü ile değiştirilebilir (Viking Conquest'e dahil değildir). Daha fazla bilgi için, bu DLC'nin dosyaları arasında 'Özel Yelkenleriniz' klasörüne bakın. ^^ Bir geminiz olduğunda, gemi yazarı sizinle farklı bir şekilde etkileşime girer ve tavsiye vermekte tereddüt etmez. Gemiler ayrıca özel gemi inşa etmeyi de önerir. Daha iyi gemiler, elde etmeniz ve yanınızda getirmeniz gereken özel malzemeler gerektirebilir. Daha iyi gemiler ayrıca inşaatları için daha fazla zamana ve İskandinav limanlarındaki yetenekli gemi yazarlarına ihtiyaç duyarlar. İnşa ettiğiniz ilk yedi gemi, gemi özelleştirme menüsünde serbestçe adlandırılabilir. ^
ip_wounds|Yaralar
ip_wounds_text|Büyük şehirlerdeki Hekimler belirli bir ücret karşılığında yaraları birkaç gün içerisinde tedavi edebilirler. Tüm negatif etkiler yok olacaktır. Eğer yara tedavi edilmezse bir süre sonra iz halini alacak ve negatif etkiler kalıcı olacaktır.
ip_traits|Kişisel Özellikler
ip_traits_text|15. seviyeye ulaştığında şu karakter özelliklerinden istediğin birini seçebilirsin:^^Berserker: Berserk moda geçmek savaş alanının ateşiyle hızının ve gücünün artmasını sağlar ve bu canavarlık hali görüşünün kanlanmasına sebep olur.^^Lider: Bu yetenek liderlik seviyenizi artırır. Adamlarınız, attığınız savaş çığlıkları ile daha da kana susamış şekilde dövüşeceklerdir.^^Çetin: Bu yetenek, birliklerinizin savaş alanındaki hızını ve hareket kabiliyetini artırır.^^Güçlü: Adamlarınızın kalkan ve zırhlarının bakımı üzerine düşüyor oluşunuz, düşmanınız için sizden birine hasar vermeyi zorlaştıracaktır.^^Bu karakter özelliklerini etkinleştirmek için savaş alnında T tuşuna basın.
ip_recruitment|Asker Toplama Sistemi
ip_recruitment_text|Viking Conquest'teki asker toplama sistemi otomatik değildir ve belirli faktörlere bağlıdır. Her şeyden önce; köylerden, kalelerden veya şehirlerden asker toplamak için bunu yapabilmek için ilgili kişiden izin almanız gerekmektedir. Örneğin köylerdeki izni köy yaşlısından veya köy sahibinden, kale ve şehirlerdeki izni de o yerleşkenin sahibi lorddan almanız gerekmektedir. ^Çiftliklerde her zaman size katılmak isteyen insanlar bulabilirsiniz. Ayrıca, eğer Hristiyan iseniz, manastırlarda yanınıza alabileceğiniz birkaç asker bulma şansınız vardır. Lordlar izin alabilmeniz için şanınızın yeterli seviyede (150+ olması gerektiği gibi o lord ve o krallık ile ilişkilerinizin de iyi olması gerekir. Köy yaşlısından izin alabilmek ise için bir çok yöntem vardır. Yüksek şan seviyeniz (150+), köy ile olan ilişkiniz (15+) veya köy yaşlısına vereceğiniz rüşvet işinizi görmeye yetecektir. Rüşvet girişiminiz ilk seferde işe yaramayabilir. bu durumda birkaç kez daha şansınızı deneyebilirsiniz. İzni aldığınız zaman, köy ile ilişkileriniz pozitif kaldığı sürece buradan asker toplayabilirsiniz. Köylerden 1. kademe askerler toplanabilir. Eğer ki köy ile ilişkileriniz gerçekten yüksek seviyedeyse (60+), 2. kademe askerler toplayabilir hale geleceksiniz. Köyün sahibi olmanız durumunda, köy ile ilişkinizin 20 puanın üzerinde olduğunu varsayarsak, 2. kademe asker toplama şansınız %50dir. Kale ve şehirlerden 2. kademe askerler toplayabilirsiniz. Eğer söz konusu yerleşim yeriyle ilişkileriniz yeterince iyi ise (30+), %30 şans oranıyla 3. kademe asker toplama şansı elde edersiniz. Tek seferde alabileceğiniz maksimum adam sayısı, yerleşke ile ilişkiniz, liderliğiniz, karizmanız, yerleşkenin dini ve o bölgenin sahibi olup olmadığınız ile bağlantılıdır
ip_wages|Ücret
ip_wages_text|Viking Conquest'teki asker ücretleri esas olarak oyuncunun liderliğinden etkilenir. Üst düzey birlikler için, oyuncunun ikna etme becerisi, ne kadar iyi olduğuna bağlı olarak bonus veya malus olabilir. Robbers ve Vikings gibi haydut tipi birlikler için oyuncunun itibarı oyuna giriyor, oyuncunun itibarı Notorious'tan daha kötüyse indirim yapıyor.
ip_skills|Beceriler ve Nitelikler
ip_skills_text|Viking Conquest'ta bir karakter yaratırken ya da geliştirirken, kişinin birçok beceri ve niteliğe dikkat etmesi gerekir. İkna ve liderlik gibi beceriler ticaret, ücretler, lord ve bayan etkileşimi ve zorunlu dönüşüm için çok önemlidir. Bu faaliyetlerde zeka ve karizma gibi nitelikler de önemlidir, ancak insanlarla evlenme ya da liderlik etme yeteneğinizi de etkiler. ^^ Deniz için üç önemli beceri vardır: 'Deniz Kralı', 'Gezinme' ve 'Yağma'. ^ Birinin Deniz Kralı seviyesi, birinin kumanda edebileceği gemi miktarını belirler. Birinci seviye iki gemiye kadar izin verir. Yedi gemi dördüncü Deniz Kralı seviyesinde maksimum. ^^ ^^ Navigation skill olanı denizde daha hızlı seyahat etmesini sağlar. Karadaki Pathfinding yeteneğinin deniz eşdeğeridir (bu arada denizde yardımcı olmaz). ^ ^ Daha yüksek bir Yağma becerisi, düşman gemilerini ele geçirme şansını arttırır. ^
ip_tactical_controls|Tactical Controls
