qstr_Breaking_camp...|Yeni kamp...
qstr_It_appears_that_{s31|Görünüşe göre {s31}, {s32} 'in aldatma konusundaki son hikayelerini düşmanlarının dedikodularından başka bir şey olduğunu varsayarak reddetti.
qstr_It_seems_that_{s31}_w|Görünüşe göre, {s31}, bir sığır hırsızlığı planına dahil edildikten sonra {s32} 'nin eğlenmediğini gösteriyor.
qstr_It_appears_{s32}_had|Görünüşe göre {s32} son cinayete bağlı kalmaktan kaçınmayı başarmıştı ve {s31} ile olan ilişkileri zarar görmedi.
qstr_Winter_is_the_worst_|Kış savaş için en kötü zamandır. Soğuktur, aşırı yağmur yağar ve yiyecek kısıtlıdır. Kışın adamların sefere çıkmaktansa ateş başında korunmayı tercih eder. Ayrıca moral ve yiyecek stoğuna da bakmalısın.
qstr_{s40}_decided_to_bec|{s40}, {s39} yakınlarında bir maceracı olmaya karar verdi.
qstr_It_seems_your_soldie|Öyle görünüyor ki askerlerin felekten bir gece çaldılar ve kendileri için parti envanterindeki içkilerin bir kısmını bitirdiler. 
qstr_It_seems_someone_wen|Öyle görünüyor ki birileri envanterini kurcalamış ve {s33} çalmış. 
qstr_{s22}|{s22}
qstr_{s33}_was_beaten_up_|{s33}, sinirden çılgına dönmüş {s34} halkı tarafından iyice pataklanıp zindana atıldı.
qstr_{s33}_s_attempts_to_|{s34} halkını etkilemeye yönelik {s33} girişimleri başarısızlıkla sonuçlandı.
qstr_The_people_of_{s34}_|{S34} halkı senden o kadar nefret ediyor ki, gardiyanlar {s33} 'a girmelerine izin vermediler.
qstr_A_livestock_epidemic|Bir hayvan salgını {s4}{.de} {reg4} sığırı öldürdü.
qstr_A_livestock_epidemic_|Bir hayvan salgını {reg5} koyunu {s4} ' de öldürdü.
qstr_A_livestock_epidemic_h|Bir hayvan salgını, {s4} 'te {reg4} sığır ve {reg5} koyun öldürdü.
qstr_You_receive_a_messag|{s1} alanlarından, kendilerini uygun bir tarzda desteklemelerini talep eden topraklardan bir mesaj alırsınız.
qstr_You_receive_a_message|{s1} ' den vasallarınızı sağlama yükümlülüğünüzü hatırlatan bir mesaj alırsınız.
qstr_Your_men_made_some_d|Adamların inek sütünden lezzetli bir tereyağı yaptı.
qstr_A_livestock_epidemic_ha|Bir hayvan salgını, sığırlarınızdan {reg5} ' i {s4} yakınlarındaki bir çiftlik evinde öldürdü.
qstr_A_livestock_epidemic_has|Bir hayvan salgını, {reg4} sığırlarını ve {reg5} sığırlarınızı {s4} yakınlarındaki bir çiftlik evinde öldürdü.
qstr_Your_party_is_spotte|Tarafın {s1} tarafından farkedildi.
qstr_Your_men_have_nothin|Adamlarının yiyecek hiç bir şeyi yok!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} gece senin tarafının elinden kaçtı. 
qstr_{s1}_of_the_{s3}_has|{s3} {s1}{.i} esaretten kurtuldu.
qstr_{s1}_is_no_longer_in|{s1} artık geceleri haydutlarla dolu değil.
qstr_{s1}_has_won_the_tou|{s1} {s2}{.i} turnuvayı kazandı.
qstr_You_pay_for_accommod|Kalacak yer için ödeme yap.
qstr__Your_tactics_skill_| Taktik yeteneğin 1 arttı.
qstr__Your_persuasion_ski| İkna yeteneğin 1 arttı.
qstr__Your_leadership_ski| Liderlik yeteneğin 1 arttı
qstr__Your_intelligence_h| Zeka yeteneğin 1 arttı.
qstr__Your_trade_skill_ha| Ticaret yeteneğin 1 arttı.
qstr__Your_weapon_master_| Silah ustası yeteneğin 1 arttı.
qstr__Your_engineer_skill| Mühendislik yeteneğin 1 arttı.
qstr_You_have_finished_re|{s1}{.i} okumayı bitirdin.{s2}
qstr_Book_Read|Kitap okuma
qstr_Christian_monastery|Hristiyan Manastırı
qstr_Christian_church|Hristiyan Kilisesi
qstr_shrine_to_Norse_gods|İskandinav Tanrıları Tapınağı
qstr_temple_to_Odin|Odin Tapınağı
qstr_People_of_{s24}_are_|{s24} halkı senin dini hoşgörüsüzlüğün yüzünden galeyana geldi ve {s25}'{.i} yakıp yıktı.
qstr_You_have_{reg0}_days|Bu görevi tamamlamak için {reg0} günün var.
qstr_{s1}_is_scouted.|{s1} gözlendi.
qstr_{s1}_has_switched_fr|{s1}, {s2}{.den} {s3}{.e} geçti.
qstr_The_merchants__rest_|Tüccarların {s1} dinlenme salonu zenginliğini artırıyor.
qstr_Better_education_in_|{s1}'de daha iyi eğitim, refahına katkıda bulunur.
qstr_The_mead_hall_in_{s1|{s1}'deki hancı refahına katkıda bulunur.
qstr_Christian_monastery_|{s33}'{.de} bulunan Hristiyan manastırı {s34} bölgesindeki Hristiyan inancını artırıyor.
qstr_The_scriptorium_in_{|{s1} manastır yazıhanesi namını artırıyor.
qstr_Due_to_the_good_word|Hristiyan rahiplerin hakkında yaydığı iyi şeyler sayesinde {s1} ile olan ilişkin iyileşiyor.
qstr_Due_to_the_bad_words|Hristiyan din adamlarının senin hakkında yaydığı kötü sözler nedeniyle, {s1} ile olan ilişkiniz azaldı.
qstr_{s1}_has_become_host|Hristiyan konuların kötü muamelesi nedeniyle {s1} size düşman oldu.
qstr_Faction_became_hosti|Krallık düşman oldu
qstr_Due_to_the_good_words|Paganların sizin hakkınızda yaydığı iyi sözler nedeniyle, {s1} ile olan ilişkiniz gelişir.
qstr_Due_to_the_bad_words_|Paganların sizin hakkınızda yaydığı kötü sözler nedeniyle, {s1} ile olan ilişkiniz azalır.
qstr_{s1}_has_become_hosti|{s1} Pagan konularının kötü muamelesi nedeniyle size düşman oldu.
qstr_Village_{s10}_is_und|{s10} Köyü saldırı altında!
qstr_{s13}_has_too_many_t|{s13} çok sayıda asker içeride saklanıyor ve mareşal askerler tarafından seçilebiliyor.
qstr_most|çok
qstr_half|yarım
qstr_some|biraz
qstr_few|birkaç
qstr_There_are_too_many_m|Sığınağında çok fazla adam var. Bu yüzden bir kısmı hoşnutsuz ve hatta birkaçı kaçmış durumda!
qstr_Refuge_Garrison|Sığınak Garnizonu
qstr_You_receive_word_tha|Talimcinin {s1} yerindeki görevini tamamladığını öğrendiniz.
qstr_TEST:_I_moved_Lords_|TEST: Beyleri St Helena'ya gönderdim.
qstr_TEST:_I_bring_Lords_|TEST: Lordları geri getirdim.
qstr_Physicians_in_larger|Daha büyük şehirlerdeki doktorlar bir bedel karşılığı yaraları tedavi edebilir ve yaralar birkaç gün sonra iyileşebilir. Olumsuz etkiler ortadan kalkacaktır.
qstr_You_are_wounded|Yaralandın
qstr_{s1}You_have_only_on|{s1}Yaralanmalarınızın {reg7}'sine bakmak için sadece bir gününüz kaldı. Bunu yapmak için daha büyük bir kasabada bir doktoru ziyaret edin.^^
qstr_{s1}{reg7}_of_your_i|{s1}{reg7} yaralanmaların kalıcı hale gelir çünkü {reg8?onlarla:onla} ilgilenilmedi.^^
qstr_{s1}{reg7}_of_your_w|Yaralarınızın {s1}{reg7} tedavisi iyileşti ve ilgili yetenekleriniz artık sınırlı değil.
qstr_{s1}|{s1}
qstr_Wound_Report|Yara Raporu
qstr_A_ship_has_been_buil|{s0}{.de} senin için bir gemi inşa edildi.
qstr_Ship_finished|Gemi Tamamlandı!
qstr_{s0}_has_recovered_f|{s0} baskından sonra iyileşiyor.
qstr_By_now_you_have_more|Artık birden fazla gemin var. Deniz savaşlarında gemilerine dokuzuncu gruba emir vererek (tıpkı normal savaşlarda farklı asker gruplarına emir vermek gibi) "yerini koru" veya "saldır" emirlerini verebilirsin. Ordu listendeki ilk birlikler seninle beraber sancak gemisinde, diğer birlikler ise geri kalan gemilerde olacaktır. Sancak gemini, denizde kamp halindeyken değiştirebilirsin. Ayrıca, eğer kıyıya yakınsan, donanmanın bir kısmını (yine denizde kamp halindeyken), partinin üzerine farenin sağ tuşuyla tıklayarak, en yakın karaya çıkma noktasını bulmaları üzere ayırabilirsin.
qstr_Ship_management|Gemi Yönetimi
qstr_Your_troops_are_angr|Denizde sabahlamaktan nefret ettikleri için birliklerin şu an kızgın.
qstr_Your_troops_feel_une|Birliklerin denizaşırı seyahat konusunda rahat hissetmiyor.
qstr_Severe_weather_has_d|Çetin hava {s1} ({s7}){.i} tahrip etti.
qstr_Severe_weather_has_de|Çetin hava {s1} ({s7}){.i} yıktı.
qstr_vSeason|vSeason
qstr_vWindStrength|vWindStrength
qstr_The_weather_changed_|Hava durumu değişti: 'Sakin'
qstr_The_weather_changed_t|Hava durumu değişti: 'Hafif Rüzgarlı'
qstr_The_weather_changed_to|Hava durumu değişti:'Orta Rüzgarlı'
qstr_The_weather_changed_to:|Hava durumu değişti: 'Kuvvetli Rüzgarlı'
qstr_The_weather_changed_to:_|Hava durumu değişti: 'Şiddetli Rüzgarlı'
qstr_The_weather_changed_to:__|Hava durumu değişti:'Fırtına'
qstr_The_weather_changed_to:__S|Hava durumu değişti: 'Şiddetli Fırtına'
qstr_The_operation_of_the|{s33}'deki köle pazarının çalışması itibarınızı azaltır.
qstr_DEBUG_rebellion:_che|DEBUG: {reg1} gününde {s1} hizasını kontrol ediyor
qstr_DEBUG_rebellion:_fac|DEBUG: faction {s1} reborn on day {reg1}
qstr__Possible_Rebellion_|(Olası İsyan) Söylentiler, {s14} liderliğinize rağmen krallığınızdan acemi askerler işe alındığını söylüyor.
qstr__Possible_Rebellion__|(Olası İsyan) öylentiler, {s14}'in krallığını mutlaka yeniden kurmaya çalışacağını söylüyor.
qstr__Possible_Rebellion__R|(Olası İsyan) Söylentiler {s14}'in hala hayatta olduğunu söylüyor.
qstr__Possible_Rebellion__Ru|(Olası İsyan) Söylentiler, {s14}'in silah stokladığını ve Frenkler arasında destek aradığını söylüyor.
qstr__Possible_Rebellion__Rum|(Olası İsyan) Söylentiler {s14}'in, sadık adamıyla gizli buluştuğunu söylüyorlar.
qstr__Possible_Rebellion__Rumo|(Olası İsyan) Söylentiler, insanların {s14}'in restorasyonunu tercih ettiğini söylüyor.
qstr__Possible_Rebellion__Rumor|(Olası İsyan) Söylentiler, {s14} tahtını yeniden kazanmak için bir ordu topladığını söylüyor.
qstr__Possible_Rebellion__Rumors|(Olası İsyan) Söylentiler, {s14}'in silah stokladığını söylüyor.
qstr__| 
qstr_Congratulations!_You|Tebrikler! {s13}'e yedi ya da daha fazla Lordu mahkum etmeyi başardınız. Gerçekten bir zindan ustasısın.
qstr_Dungeon_master_Achie|Zindan Ustası Başarımı
qstr_Congratulations!_You_|Tebrikler! Beş ya da daha fazla kadını sevgilin yapmayı başardın. Kadınlar sizin için abayı yakmış, bu yüzden kesinlikle böyle bir talep olmaktan gurur duymalısınız. İyi iş devam edin!
qstr_Skirt_Chaser_Achieve|Etek Peşinde Başarımı
qstr_Congratulations!_You_v|Tebrikler! Evinizdeki depoda 25 veya daha fazla varil şarabın tadını çıkarmayı başarmışsınızdır, dünyada daha çok bal likörü ve bira ile tanışmış olduğunuz için büyük bir başarı. Ya bir içki problemin var ya da gerçek bir şarap uzmanısın.
qstr_Wine_Connoisseur_Ach|Şarap Uzmanı Başarımı
qstr_{s33}_revokes_your_r|{s33}, ikiniz arasındaki kötü ilişkiler nedeniyle {s34} 'te işe alma hakkınızı fesheder.
qstr_The_village_leader_o|{s34} köyünün lideri, siz ve köyü arasındaki kötü ilişkiler nedeniyle işe alma hakkınızı fesheder.
qstr_fixing_banners;_plea|Sancaklar düzeltiliyor, lütfen sancağınızı baştan seçiniz
qstr_unable_to_restore_ba|{reg0} sancağı restore edilip {reg1}. birliğe verilemedi
qstr_Prisoners_revolted!_|Mahkumlar isyan etti! {s33} yakınlarında
qstr_Your_gift_sent_to_{s|{s13}'e gönderilen hediyeniz onunla ilişkilerinizi iyileştirdi.
qstr_Gift_Sent_to_Lord|Hediye, Efendiye Gönderildi
qstr_Tutorial|Eğitim
qstr_Recruiting_warriors|Savaşçılar güçlendiriliyor
qstr_Your_troops_feel_ref|Birliklerin gece dinlendikten sonra yenilenmiş hissediyor.
qstr_Your_men_need_rest_o|Adamlarının dinlenmeye ihtiyacı var yoksa moralleri dibi görecek.
qstr_Foragers|Avcılar
qstr_Scouts|İzciler
qstr_Morale|Moral
qstr_Each_day_of_the_sieg|Kuşatmanın her gün, bir takım masrafları karşılamanız gerekir. Ödüller için para ödüyorsun, tuvaletleri kazıyorsun, ahırları temizliyorsun, su ve yiyecek alıp götürüyorsun, yemek pişiriyorsun, askerleri eğlendiriyorsun...
qstr_You_do_not_have_mone|Kuşatmanın temel giderlerini ödeyecek paran yok. Bu morali çok düşürüyor.
qstr_{reg65?my_Lady:my_Lo|{reg59?Hanımım:Beyim}
qstr_{reg65?My_Lady:My_Lo|{reg59?Hanımım:Beyim}
qstr_{reg65?madame:sir}|{reg59?Hanımım:Beyim}
qstr_{reg65?Madame:Sir}|{reg59?Hanımım:Beyim}
qstr_Dog|Köpek
qstr_Welcome_landlubber._|Hoşgeldin denizci. Burada gemi inşaatçısıyım.
qstr_Welcome_{reg59?lady:|Hoş geldiniz {Lordum/Leydim} {playername}.
qstr_Welcome_{reg59?madam|Hoş geldiniz {beyim/hanımım}.
qstr_Welcome.|Hoş geldiniz.
qstr_Your_ship_is_in_a_ba|Gemin kötü durumda. Tersanemde onu tamir etmeyi düşünmelisin.
qstr_The_{s7}_is_the_most|{s7} bugüne kadar gördüğüm en ihtişamlı gemi. Onu limanımızda görmek büyük onur {reg59?Hanımım:Beyim}.
qstr_Your_ship_is_of_poor|Gemin düşük kalitede. Belki benim için daha iyi bir gemi almayı düşünebilirsin.
qstr_That_s_a_decent_ship|Burada sahip olduğun makul bir gemi.
qstr_Your_ship_the_{s7}_i|Gemin, {s7} harikulade. Dilersen çalışanlarım biraz vernik ve boya yapabilir.
qstr_The_{s7}_is_a_wonder|{s7} harika bir gemi. Onu limanımda görmekten çok memnunum.
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|Zaten {s1}{.desin}.
qstr__and_your_troops| ve birliklerin
qstr_There_is_a_ship_that|Seni {s3} {s1} limanına {reg1} peninge götürecek bir gemi var.
qstr_I_changed_my_mind.|Fikrimi değiştirdim.
qstr_For_a_ship_of_this_s|Bu boyda bir gemi için yeterince kereste, katran ve yünüm yok bu yüzden bu ekstra malzemeleri senin getirmeni istiyorum. 
qstr___He_indicates_the_f|--Koluyla körfezin uzak tarafını gösterir.--
qstr_Now_you_must_join_th|Yakında Englaland için Ribe'den ayrılacak, Boğa Boyunlu Sven ve Harald Haraldsson tarafından yönetilen donanmaya katılmak zorundasın. Kaderin seni bir kez daha başka topraklara yönlendiriyor.
qstr___His_eyes_shine.__|--Gözleri parlar.--
qstr_The_port_master_of_R|Ribe limanı başkanı sana Sven'in sığınağının adresini verir: {s3}{.nin} kuzeydoğusu. Oraya git ve Woden Ric esirlerini kurtar.
qstr___He_approaches_you_|--Sen onun nefesindeki ucuz bira kokusunu alana kadar o sana yaklaşır.--
qstr___He_looks_with_a_pe|--Huysuz bir şekilde bakar.--
qstr_The_port_master_of_Ri|Ribe liman başkanı senden Eiru, Hibernia'da {s3} yakınlarında bir manastırda Gleann Da Loch'da bulunan  'The Cathach of Colum Cille,' adındaki kitabı istiyor.
qstr_The_port_master_from|Ribe limanı başkanı sana Sven'in sığınağının adresini verir: {s3}'in kuzeydoğusu. Oraya git ve Woden Ric esirlerini kurtar.
qstr___He_gives_you_a_str|--Sana garip bir şekilde bakıyor.--
qstr_The_port_master_of_{|{s4} limanı başkanı senden Eiru {s3}{.e} Hogni adında yerel bir tüccara bir paket kürk götürmeni istiyor. Kendisini şehrin içinde bir dükkanın içinde bulacaksın.
qstr_The_port_master_from_|{s4} limanı başkanı sana Atli'nin mağarasının yerini söylüyor: {s3} yakınlarında. Oraya git ve Bodo'nun mektubunu al.
qstr_The_port_master_from_R|Ribe limanı başkanı sana Atli'nin mağarasının yerini söylüyor: {s3} yakınlarında. Oraya git ve Bodo'nun mektubunu al.
qstr_Embark_on_your_boat_|Botuna çıkve donanmayı Douar-an-Enez'e yönlendirmek için donanmaya katıl.
qstr_Perhaps_there_is_a_l|Belki dünyanın sonu için hala biraz zaman vardır. (Sakin)
qstr_You_re_right!_The_co|Haklısın! Vikinglerin gelişi sona geldiğimizi gösteriyor! (Hüzünlü)
qstr_The_Bible_also_says_|İncil bir kralın tüm dünyayı birleştireceğini yazıyor. Ben o kralım. (Fevri)
qstr_A_change_in_the_worl|Dünyadaki bir değişiklik cesaretli kimseler için fırsat yaratır, hepsi bu. (İyimser)
qstr_I_appreciate_your_re|Güven veren sözlerinizi takdir ediyorum fakat korkarım dünyanın sonu geldi bile ve söyleyeceğimiz ya da yapacağımız hiçbir şey onu durduramaz. Tek yapabileceğimiz bekleyip, Tanrı'nın orduları gelene kadar savaşmak.
qstr_Exactly!_West_Seaxe_|Kesinlikle! Batı Seakse inançlı insanların son kalesi fakat birliklerin tüm çabasına rağmen ayakta kalacak. Hepimiz öleceğiz! Beni yalnız bırakın, daha fazla konuşmak istemiyorum.
qstr_Your_self_confidence|Özgüvenin beni tahatlatıyor fakat kralın kötülerin ordusu tarafından yenileceğini söylemek zorundayım ve dünyayı yalnızca tanrının ordusunun gelişi kurtaracak. Ancak sen kral olursan ben senin için savaşmak ve ölmek benim için onurdur.
qstr_I_m_surprised_that_y|Birilerinin kötü şansından kendine yarar sağlayabilmen beni şaşırtıyor. Düşündüğümden daha acımasızmışsın.
qstr_You_need_to_rid_your|Kendini kibirden arındırmalısın. (Sakin)
qstr_I_am_always_willing_|Öğrenmeye hep hevesliyim. Teşekkürler Egil. (Hüzünlü)
qstr_I_think_it_s_clear_t|Sanırım kader benim için sana olduğundan daha iyimser. (Fevri)
qstr_Silence!_You_shall_n|Sessiz! Yetkime saygısızlık etmesen iyi olur! (İyimser)
qstr_Yes_I_pretended_to_b|Evet alçakgönüllüymüşüm gibi davranıyorum. Bu doğal olarak bana gelmiş bir şey fakat kibir bir lider için iyi. İhtiyacın olunca biraz kibirli olmayı öğrenmelisin -- sana tavsiyem -- ve adamların senin güvenini görmeli. Emirlerin keskin olmalı ve onlara uymayanlar cezalandırılmalı. Bir liderde değer verdiğim budur ve dinlediğin için mutluyum. Bu kadar konuşma yeter.
qstr_I_understand._Someon|Anlıyorum. Senin gibi birinin bendeki tecrübe ve bilgi yok. Benden öğrenmeye çalışmanız önemlidir, {playername}. İnsanların hayran olduğu ve saygı duyduğu benim gibi olmaya çalışın. Ayrıca, ilk savaşa katılmanızı, adamlarınıza örnek teşkil etmenizi ve açgözlülük olmadan adamlarınızla gümüşü paylaşmanızı öneririm. Bunlar benim ipuçlarım. Şimdi yapmam gereken şeyler var.
qstr_Your_men_see_the_way|Adamların Egil'in sana davranış biçimine saygı duyuyor ve yetki kaybediyorsun.
qstr_And_people_say_that_|Ve insanlar benim kibirli olduğumu söyler! Ne diyebilirim ki? Hoşuma gitti. Bir liderde en çok değer verdiğim şeydir: özgüvenini gösterme ve karizması ile diğerlerini ikna etme yeteneği. Haklısın, sana öğretecek bir şeyim yok.
qstr_I_only_pretended_to_|Sadece tavsiye vermeye çalıştım fakat senin dinlemek istemediğin açık. Pekala, yetkini göstererek bir emir verdin fakat bu seni iyi bir lider yapmaz. Boyun eğip susacağım ve işlerime döneceğim.
qstr_I_am_just_a_poor_far|Ben fakir bir çiftçiyim, şuradaki çiftlik kahyası ile konuş.
qstr_I_just_work_the_fiel|Ben burada sadece çalışanım, şuradaki çiftlik kahyası ile konuş.
qstr_Stranger_go_talk_to_|Yabancı, burada çalışmak istersen şuradaki çiftlik kahyası ile konuş.
qstr__Relation:_{reg0}| İlişki: {reg0}
qstr_{s12}I_want_to_plund|{s12}Kendim için {s1} yağmalamak ve saklamak istiyorum. {s2}
qstr__no_fiefs_|(no fiefs)
qstr__fiefs:_{s0}_|(fiefs: {s0})
qstr___The_child_looks_at|--Çocuk neşeli gözlerle sana bakıp gülüyor.--
qstr_My_mother_told_me_no|Annem yabancılarla konuşmamamı söyledi. Güle güle!
qstr_Running_is_fun!_I_ca|Koşmak eğlenceli! Ben senden daha hızlı koşabilirim! Görmek ister misin?
qstr_We_are_landless_poor|Toprağımız yok, zavallı ve fakiriz. Hayat bizi buna zorladı. Ani hareket etme ya da seni delip geçeriz.
qstr_Luckily_for_you_you_|Şanslısın, bugün iyi günümdeyim. Tüm paranı bize ver ve belki yaşamana izin veririm.
qstr_This_a_robbery_eh?_I|Bu bir soygundur mu? Aldığınız her şeyi geri bırakmanız için size bir şans veriyorum ya da adamlarım sizi öldürecek. Anladınız mı?
qstr_big|büyük
qstr_medium_sized|orta boy
qstr_small|küçük
qstr_don_t_|yapma 
qstr_Note_4:_{s9}_has_sen|Not 4: {s9} seni öldürmeleri için adam gönderdi. Sana nehir kenarında pusu kurdular ve saldırılarından kurtulmana rağmen gözüne uyku girmiyor.
qstr___A_large_group_of_S|--Büyük bir Sakson grubu yoluna çıktı. Liderleri öne çıkıyor ve elini kaldırıyor.--
qstr_we_have_made_very_li|şimdiye kadar çok az yol katettik
qstr_we_have_succeeded_in|biraz toprak elde etmeyi başardık, ama hala devam etmek için uzun bir yolumuz var.
qstr_we_have_become_a_sig|önemli bir gücümüz ve hatta zafer şansımız var
qstr_we_are_winning_the_w|savaşı kazanıyoruz fakat düşmanlarımız hala direniyor.
qstr_we_are_on_the_verge_|Zaferin kıyısındayız. Kalan düşmanlar tehdit oluşturmuyor fakat yine de peşlerine düşmeliyiz.
qstr_Warlord|Savaş Lordu
qstr_Note_5:_You_fell_in_|Not 5: Morrigan'a aşık oldun.
qstr_{s21}_seems_happy._{|{s21} mutlu görünüyor. {s21} memnun görünüyor.
qstr___She_smiles.__|--Gülümser.--
qstr___He_mutters_somethi|--Görünmeyen biri ile konuşuyormuşcasına dilinin altında bir şeyler geveliyor.--
qstr___He_seems_very_nerv|--Çok gergin ve korkmuş görünüyor.--
qstr_Please_calm_down._I_|Lütfen sakin ol. Ben senin düşmanın değilim. Derin bir nefes al ve anneme anlat. (Sakin)
qstr_You_re_making_me_wor|Beni endişelendiriyorsun... hem de çok... Lütfen sakinleş ve bana annem hakkında bilgi ver. (Hüzünlü)
qstr_Relax!_You_re_talkin|Rahatla! Bir arkadaşla konuşuyorsun ve seni incitecek olandan koruyabilirim. (Fevri)
qstr_Calm_down_and_tell_m|Sakin ol ve bana annem hakkında bilgi ver! Aksi halde yemin ederim sorularımı cevaplayan cesedin olur. (İyimser)
qstr_Thank_you_for_being_|Anlayışlı olduğun için teşekkür ederim. Bugün zor bir gün geçirdik. Şimdi daha iyiyim. Dinle, söyleyecek önemli şeylerim var.
qstr_Please_please_do_not|Lütfen, lütfen endişelenmeyin! Sven endişeli iken canını sıkanların parmaklarını kesti. Bak, daha iyiyim ve sana önemli şeyler söyleyeceğim.
qstr_Oh_well_yes_I_trust_|Pekala sana güveniyorum. O, sana güvenmemi söyledi. Sana her şeyi anlatacağım.
qstr_Oh_my_god..._Do_not_|Olamaz... Beni öldürme! Çok sessizim, ayağını öpeyim. Kulun kölen olayım. Sana bildiğim her şeyi anlatacağım. 
qstr___He_seems_calmer.__|--Sakin görünüyor.--
qstr_In_Boar_Grove_you_fo|Boar Grove'da annenin kölesi olan Beda adında bir rahip buldun. Özgür bırakılmış bu yüzden seni bulabilmiş ve annenin sevgisini hatırlatıyor. Nihayet annenle ilgili haberler alabildin. Onu bulmaya bir adım daha yaklaştın. ^Nihayet Douar-an-Enez'e açılmaya hazırsın.
qstr___He_smiles.__|--Gülümser.--
qstr___He_closes_his_eyes|--Doğru kelimeleri bulmak istercesine gözlerini birkaç saniye kapatır.--
qstr___He_takes_a_deep_br|--Derin bir nefes alır, sonra yavaşça sakince cevap verir.--
qstr_Asbjorn_has_joined_y|Donanmaya katıldığından emin olmak için Asbjorn grubuna katılır. Bunun yanında grubuna doktor olarak hizmet etmeyi de teklif eder. Şimdi Englaland'a giden Viking donanmasına seni götürmesi için liman başkanı ile konuşma zamanı.
qstr___Bodo_seems_excited|--Bodo heyecanlı görünüyor.--
qstr___He_smiles_at_you._|--Sana gülümsüyor.--
qstr___He_takes_the_lette|--Elinden mektubu alıyor.--
qstr___He_looks_up_from_t|--Sayfaya bakıp sana dönüyor.--
qstr_Bodo_s_letter_has_fa|Bodo'nun mektubu eline düşüyor ve mevcut problemleri çözdükten sonra onla ne yapacağını bulmaya karar veriyorsun.Şimdilik {s9}'a mektubun Atli'nin mağarasında bir saldırıda yandığını ve {s11}'in onu aleyhinde kullanamayacağını söylüyorsun. 
qstr_Brunhild_thinks_that|Brunhild senin zayıf bir lider olduğunu düşünüyor.
